MGRNU,STAT_CDE,A004_KND_C,HOL,VEL,AW_SN_QUA,AW_SN_LENX,EVE_CDE,OD_PE_CDE,GU_CDE,DONG_CDE,JIBUN,NW_PE_CDE,WORK_CDE,VIEW_CDE,ROD_GBN_CD,TFC_BSS_CD,SIXID,ESB_YMD,CAE_YMD,HISID,CTK_MGRNU,CRS_MGRNU,FRM_CDE,CSS_CDE,RN_CDE,MNG_AGEN,geometry,length_m
06-0000029752,001,002,0.0,0.0,0.0,001,001,200,230,11000,356 제,200,001,002,001,109,,,,34506.0,2000-0000-000,06-029752,,,,,"POLYGON ((205880.451165236 556188.253140302, 205880.451165236 556188.253140302, 205874.181568743 556183.34193699, 205872.509669743 556186.0587728651, 205878.674772549 556190.656470358, 205880.451165236 556188.253140302))",1m
06-0000029754,001,003,0.0,0.0,0.0,001,001,200,230,10400,588-1철,200,001,002,001,109,4382758,,,52992.0,2000-0000-000,06-029754,004,3403,,,"POLYGON ((204053.601509661 553009.2077133609, 204057.789009659 553013.5827133569, 204060.789009659 553010.395213357, 204056.539009661 553006.2077133609, 204053.601509661 553009.2077133609))",1m
06-0000031691,001,002,0.0,0.0,4.0,001,001,200,230,10200,103-10대,200,001,002,001,109,4353883,,,59805.0,2000-0000-000,06-031691,004,191,,,"POLYGON ((202586.875 553672.5625, 202590.78125 553676.625, 202602.359375 553663.4375, 202597.734375 553659.6875, 202586.875 553672.5625))",1m
06-0000031917,001,003,0.0,0.0,,,001,200,230,10900,183-310대,200,001,002,001,109,5315035,20171231,20171231,76430.0,2000-0000-000,06-031917,004,6058,,,"POLYGON ((205184.828125 554409.8125, 205192.625 554412.1875, 205193.9375 554409, 205185.515625 554406.5, 205184.828125 554409.8125))",
06-0000031825,001,003,0.0,0.0,0.0,,001,200,230,10200,103-175대,200,001,002,001,109,43538712,,,97860.0,2000-0000-000,06-031825,004,7740,,,"POLYGON ((202598.296875 553652.3124998721, 202602.28125 553652.0624998721, 202601.390624999 553646.812499871, 202597.828125 553647.812499871, 202598.296875 553652.3124998721))",
06-0000031656,001,002,0.0,0.0,2.0,006,001,200,230,10200,47-2도,200,001,002,002,109,,,,63962.0,2009-1108-150,06-031656,004,,,,"POLYGON ((203089.43180321698 553030.731341418, 203101.54141104402 553030.904334047, 203098.77350422 553027.011975133, 203089.258810588 553027.011975133, 203089.258810588 553027.011975133, 203089.43180321698 553030.731341418))",1.5m
06-0000031657,001,003,0.0,0.0,0.0,001,001,200,230,10200,696-1제,200,001,002,002,109,,,,63961.0,2009-1108-150,06-031657,004,,,,"POLYGON ((203089.604795847 552990.8561442819, 203089.604795847 552990.8561442819, 203089.77778847603 552979.006025399, 203085.712412177 552979.697995916, 203085.712412177 552988.953200605, 203089.604795847 552990.8561442819))",1m
06-0000031658,001,001,0.0,0.0,2.0,006,001,200,230,10200,696-13제,200,001,002,002,109,,,,63960.0,2009-1108-150,06-031658,004,,,,"POLYGON ((203090.123773734 552977.362570666, 203099.465474737 552977.44906698, 203099.72496368102 552973.210698052, 203089.77778847603 552973.210698052, 203089.77778847603 552973.210698052, 203090.123773734 552977.362570666))",1.5m
06-0000031659,001,002,0.0,0.0,4.0,006,001,200,230,10200,80-35대,200,001,002,002,109,,,,63959.0,2009-1108-150,06-031659,004,,,,"POLYGON ((203109.758635201 552885.070062238, 203109.758635201 552885.070062238, 203110.277613089 552870.971014419, 203104.30931786803 552870.106026517, 203103.876836295 552888.010961691, 203109.758635201 552885.070062238))",1.5m
06-0000031660,001,002,0.0,0.0,2.0,006,001,200,230,10200,47-2도,200,001,002,002,109,,,,63958.0,2009-1108-150,06-031660,004,,,,"POLYGON ((203091.334746895 552870.106026517, 203104.482310497 552870.279019147, 203104.049828924 552864.0512349821, 203091.075233195 552864.0512349821, 203091.075233195 552864.0512349821, 203091.334746895 552870.106026517))",1.5m
06-0000031661,001,004,0.0,0.0,0.0,001,001,200,230,10200,66-8대,200,001,002,001,109,,,,63889.0,2009-1108-150,06-031661,004,,,,"POLYGON ((203298.92805575402 552810.145687014, 203298.92805575402 552810.145687014, 203298.143226715 552795.15570735, 203294.297631264 552798.216473762, 203294.768533638 552806.692493704, 203298.92805575402 552810.145687014))",1m
