NO,ATNRG_NM,SAFETY_ADDR,CCTV_USE,LA,LO,CCTV_QTY,UPDATE_DT,PLCST_NM,PLCST_DEPT_NM,PLCST_DEPT_CD,CTPR_PLAGC_NM
37857,동대문구,장안1동 457-7(타이어집화단) 메인 (161003),방범,37.56150445,127.0703675,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
37858,동대문구,장안1동 457-7(타이어집화단) 보조1,방범,37.56150445,127.0703675,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
37859,동대문구,장안1동 457-7(타이어집화단) 보조2,방범,37.56150445,127.0703675,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
38029,동대문구,장한로2길41 메인 (문제차량) (161020),방범,37.56194828,127.0673998,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
38030,동대문구,장한로2길41 보조1,방범,37.56194828,127.0673998,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
38031,동대문구,장한로2길41 보조2,방범,37.56194828,127.0673998,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
38032,동대문구,장한로2길41 보조3,방범,37.56194828,127.0673998,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
38156,동대문구,장안1동 464-1(장한평역앞) 메인 (161004),방범,37.56217704,127.0651876,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
38157,동대문구,장안1동 464-1(장한평역앞) 보조1,방범,37.56217704,127.0651876,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
38158,동대문구,장안1동 464-1(장한평역앞) 보조2,방범,37.56217704,127.0651876,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
38167,동대문구,장한로6길 69 메인 (161070),방범,37.56218966,127.0694527,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
38168,동대문구,장한로6길 69 보조1,방범,37.56218966,127.0694527,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
38169,동대문구,장한로6길 69 보조2,방범,37.56218966,127.0694527,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
38170,동대문구,장한로6길 69 보조3,방범,37.56218966,127.0694527,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
38179,동대문구,장한로 3(장안동 416-5) 메인 (161066),방범,37.56220915,127.0648667,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
38180,동대문구,장한로 3(장안동 416-5) 보조1,방범,37.56220915,127.0648667,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
38181,동대문구,장한로 3(장안동 416-5) 보조2,방범,37.56220915,127.0648667,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
38182,동대문구,장한로 3(장안동 416-5) 보조3,방범,37.56220915,127.0648667,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
38276,동대문구,한천로2길 78 메인 (문제차량) (161032),방범,37.56246653,127.0630079,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
38277,동대문구,한천로2길 78 보조1,방범,37.56246653,127.0630079,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
38278,동대문구,한천로2길 78 보조2,방범,37.56246653,127.0630079,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
38279,동대문구,한천로2길 78 보조3,방범,37.56246653,127.0630079,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
