교차로코드,입력일자,교차로명칭,유형코드,연동교차로코드,구코드 (공통);,지번,구경찰서 (공통);,신경찰서 (공통);,작업구분 (공통);,표출구분 (공통);,고객번호,계약종별,계량기번호,도로구분 (공통);,관할사업소 (공통);,교차로관리번호,공간데이터,신규정규화ID,이력ID,동코드 (공통);,공사형태 (공통);,지도표출구분,X좌표,Y좌표,경도,위도,geometry
4956,,사가정배봉,1,0.0,230.0,94-28대,200.0,200.0,1,1,,,,1.0,109.0,82-0000001927,,5322892.0,1927,10600.0,,N,206117.733099329,553241.746467177,127.06925796662232,37.57870567557917,POINT (127.06925796662232 37.57870567557917)
5036,,종암초교후문,1,0.0,230.0,67-241 대,200.0,200.0,1,2,,,,2.0,109.0,82-0000004485,,4363182.0,4485,10300.0,,N,202776.017505559,553685.400124741,127.03142857900615,37.58271910025215,POINT (127.03142857900615 37.58271910025215)
5122,,서울시설공단북단,3,0.0,230.0,29-6대,200.0,200.0,1,2,,,,1.0,109.0,82-0000004996,,4371362.0,4996,10200.0,,N,203356.241412572,552577.55575889,127.03799248929863,37.57273555681687,POINT (127.03799248929863 37.57273555681687)
5220,,이문고가(경보),1,0.0,230.0,209-1도,200.0,200.0,1,2,,,,1.0,109.0,82-0000003089,,,3089,11000.0,,N,205950.355288418,556107.364579298,127.06738638341099,37.60452574730311,POINT (127.06738638341099 37.60452574730311)
5238,,정릉램프,1,0.0,230.0,696-11도,150.0,200.0,1,1,,,,1.0,109.0,82-0000004903,,,4903,10200.0,,N,203159.395835123,552562.938625661,127.03576414438194,37.57260455328537,POINT (127.03576414438194 37.57260455328537)
4408,,두물다리,1,0.0,230.0,237-36대,200.0,200.0,1,2,,,,2.0,109.0,82-0000000241,,4361523.0,241,10500.0,,N,202941.785855697,552388.865728039,127.0333001164013,37.57103688576225,POINT (127.0333001164013 37.57103688576225)
4515,,청계9가(연등)2,1,536.0,230.0,237-10도,200.0,200.0,1,2,,,,1.0,109.0,82-0000002032,,4361033.0,2032,10200.0,,N,202689.624871715,552408.313631509,127.03044580287853,37.571212881056276,POINT (127.03044580287853 37.571212881056276)
4516,,신동아아파트입구,1,657.0,230.0,105-27대,200.0,200.0,1,2,,,,1.0,109.0,82-0000004869,,4361392.0,4869,10200.0,,N,202864.590389234,552715.79822059,127.03242756461908,37.573982774062394,POINT (127.03242756461908 37.573982774062394)
4517,,동진교,1,0.0,230.0,236-17대,200.0,200.0,1,2,,,,1.0,109.0,82-0000001704,,4351793.0,1704,10200.0,,N,202540.289943769,552708.548843039,127.0287564134677,37.57391840888672,POINT (127.0287564134677 37.57391840888672)
4518,,신설동역(연등),1,52.0,230.0,92-34도,150.0,200.0,1,2,,,,1.0,109.0,82-0000001705,,,1705,10100.0,,N,202140.90393359,552840.426749569,127.0242356972188,37.57510763648729,POINT (127.0242356972188 37.57510763648729)
4519,,청계8가(연등)2,1,471.0,230.0,101-6대,200.0,200.0,1,2,,,,1.0,109.0,82-0000004539,,4341763.0,4539,10100.0,,N,202062.700875697,552579.188602916,127.02334967948983,37.57275407294833,POINT (127.02334967948983 37.57275407294833)
4525,,동진빌딩,1,0.0,230.0,764-14도,200.0,200.0,1,2,,,,1.0,109.0,82-0000001895,,4352143.0,1895,10100.0,,N,202254.454129439,552980.330200813,127.02552155077115,37.576367887927,POINT (127.02552155077115 37.576367887927)
4526,,안암교,1,0.0,230.0,194-4 대,200.0,200.0,1,2,,,,1.0,109.0,82-0000000484,,4352662.0,484,10200.0,,N,202478.47620547,553059.464083719,127.02805786021968,37.577080304172036,POINT (127.02805786021968 37.577080304172036)
4527,,용두동사거리(연등),1,362.0,230.0,150-32도,150.0,200.0,1,2,,,,1.0,109.0,82-0000001896,,,1896,10200.0,,N,202676.417891724,553239.810188586,127.03029933881187,37.57870465804458,POINT (127.03029933881187 37.57870465804458)
4529,,한화생명신설동사옥,1,4108.0,230.0,92-34도,200.0,200.0,1,2,,,,1.0,109.0,82-0000002033,,4352101.0,2033,10100.0,,N,202263.007988516,552771.422990144,127.02561773992949,37.574485624477994,POINT (127.02561773992949 37.574485624477994)
4530,,서울시동부병원,1,657.0,230.0,237-10도,150.0,200.0,1,2,,,,1.0,109.0,82-0000001706,,,1706,10200.0,,N,202703.89819668,552885.479471526,127.03060913247329,37.57551207856658,POINT (127.03060913247329 37.57551207856658)
3343,,용두4교(연등),1,3342.0,230.0,47-1도,150.0,200.0,1,2,,,,1.0,109.0,82-0000002761,,,2761,10200.0,,N,203192.145013326,552725.906223133,127.03613557222822,37.57407276985727,POINT (127.03613557222822 37.57407276985727)
3344,,동대문구의회,2,53.0,230.0,47-1도,200.0,200.0,1,2,,,,1.0,109.0,82-0000002537,,4371784.0,2537,10200.0,,N,203556.835644989,552658.513702788,127.04026359844005,37.57346423101012,POINT (127.04026359844005 37.57346423101012)
3345,,용답동,1,0.0,230.0,324-2대,200.0,200.0,1,2,,,,1.0,109.0,82-0000001962,,4390752.0,1962,10500.0,,N,204572.393391212,552004.168800398,127.05175569106686,37.56756413565723,POINT (127.05175569106686 37.56756413565723)
3346,,용답동우체국,1,0.0,230.0,239-2 학,200.0,200.0,1,2,,,,1.0,109.0,82-0000005274,,5219322.0,5274,10600.0,,N,205375.147131036,551391.998515611,127.06083770590801,37.56204417460859,POINT (127.06083770590801 37.56204417460859)
3348,,대명신협,1,500.0,230.0,620-95대,200.0,200.0,1,2,,,,1.0,109.0,82-0000002435,,4372794.0,2435,10300.0,,N,203563.423261413,553237.989613644,127.04034098711973,37.57868525027915,POINT (127.04034098711973 37.57868525027915)
3349,,청량리미주아파트,1,0.0,230.0,620-67도,200.0,200.0,1,2,,,,1.0,109.0,82-0000004856,,4393182.0,4856,10400.0,,N,204241.248498516,553651.459090201,127.04801693640592,37.58240771160533,POINT (127.04801693640592 37.58240771160533)
3350,,서울성심병원,1,3349.0,230.0,61-359대,200.0,200.0,1,2,,,,1.0,109.0,82-0000004439,,4394412.0,4439,10400.0,,N,204406.698153494,553812.017711811,127.04989102543885,37.58385355685609,POINT (127.04989102543885 37.58385355685609)
3351,,휘경119안전센터앞,1,302.0,230.0,42-6도,150.0,200.0,1,2,,,,1.0,109.0,82-0000000399,,,399,10900.0,,N,205763.925478957,554605.640567891,127.06526329175928,37.59099654195904,POINT (127.06526329175928 37.59099654195904)
3352,,종암대교,3,0.0,230.0,1142-18임,150.0,200.0,1,2,,,,1.0,109.0,82-0000000160,,,160,10300.0,,N,203476.16068782,554634.522637965,127.0393597250371,37.591268247332124,POINT (127.0393597250371 37.591268247332124)
3353,,세종대왕기념관(연등)1,1,396.0,230.0,207대,200.0,200.0,1,2,,,,1.0,109.0,82-0000001134,,4385072.0,1134,10700.0,,N,203690.777596706,554640.177079919,127.04178980819621,37.59131835805326,POINT (127.04178980819621 37.59131835805326)
3354,,홍릉초교,2,0.0,230.0,산1-135임,200.0,200.0,1,2,,,,1.0,109.0,82-0000003994,,4385882.0,3994,10700.0,,N,204101.607527467,554680.775093949,127.04644176501252,37.591682404238306,POINT (127.04644176501252 37.591682404238306)
3355,,경희초교,3,0.0,230.0,60-1도,150.0,200.0,1,2,,,,1.0,109.0,82-0000001070,,,1070,10800.0,,N,204395.180564987,554659.039243494,127.04976570824971,37.591485211307074,POINT (127.04976570824971 37.591485211307074)
3356,,회기역앞(연등),1,48.0,230.0,54-58대,200.0,200.0,1,2,,,,1.0,109.0,82-0000004857,,5305264.0,4857,10800.0,,N,204807.481688005,554558.225556863,127.05443344404635,37.59057482763833,POINT (127.05443344404635 37.59057482763833)
3357,,휘경시장,1,0.0,230.0,334-45대,200.0,200.0,1,2,,,,1.0,109.0,82-0000000161,,5305682.0,161,10800.0,,N,205024.730554547,554654.777067603,127.0568939385671,37.59144358877244,POINT (127.0568939385671 37.59144358877244)
3358,,청량초교,1,0.0,230.0,346-131도,150.0,200.0,1,2,,,,1.0,109.0,82-0000002710,,,2710,11000.0,,N,205100.153230831,554797.273301492,127.05774892489124,37.592727053115155,POINT (127.05774892489124 37.592727053115155)
3359,,경희중,1,0.0,230.0,270-1 학,200.0,200.0,1,2,,,,1.0,109.0,82-0000002667,,5316054.0,2667,11000.0,,N,205215.259643939,555017.019109205,127.05905383620241,37.59470629886989,POINT (127.05905383620241 37.59470629886989)
3360,,외국어대(연등),1,274.0,230.0,292-10대,200.0,200.0,1,2,,,,2.0,109.0,82-0000004141,,5316482.0,4141,11000.0,,N,205403.780953824,555166.523695456,127.06118961734246,37.59605223442253,POINT (127.06118961734246 37.59605223442253)
