교차로코드,입력일자,교차로명칭,유형코드,연동교차로코드,구코드 (공통);,지번,구경찰서 (공통);,신경찰서 (공통);,작업구분 (공통);,표출구분 (공통);,고객번호,계약종별,계량기번호,도로구분 (공통);,관할사업소 (공통);,교차로관리번호,공간데이터,신규정규화ID,이력ID,동코드 (공통);,공사형태 (공통);,지도표출구분,X좌표,Y좌표,경도,위도,geometry
5122,,서울시설공단북단,3,0.0,230.0,29-6대,200.0,200.0,1,2,,,,1.0,109.0,82-0000004996,,4371362.0,4996,10200.0,,N,203356.241412572,552577.55575889,127.03799248929865,37.57273555681687,POINT (127.03799248929863 37.57273555681687)
3352,,종암대교,3,0.0,230.0,1142-18임,150.0,200.0,1,2,,,,1.0,109.0,82-0000000160,,,160,10300.0,,N,203476.16068782,554634.522637965,127.0393597250371,37.59126824733213,POINT (127.0393597250371 37.591268247332124)
3355,,경희초교,3,0.0,230.0,60-1도,150.0,200.0,1,2,,,,1.0,109.0,82-0000001070,,,1070,10800.0,,N,204395.180564987,554659.039243494,127.04976570824972,37.591485211307074,POINT (127.04976570824971 37.591485211307074)
3394,,답십리1동,3,0.0,230.0,532-1제,200.0,200.0,1,2,,,,1.0,109.0,82-0000001064,,5300412.0,1064,10500.0,,N,204910.187764687,551838.914111872,127.0555781346371,37.566073460271845,POINT (127.0555781346371 37.566073460271845)
3395,,답십리초교,3,0.0,230.0,182-1대,200.0,200.0,1,2,,,,2.0,109.0,82-0000000156,,5300143.0,156,10500.0,,N,204741.899848108,551996.829438331,127.05367431500082,37.567497151631336,POINT (127.05367431500082 37.567497151631336)
3398,,보광타워,3,3396.0,230.0,477-1대,200.0,200.0,1,2,,,,2.0,109.0,82-0000002760,,4391603.0,2760,10500.0,,N,204498.966026347,552262.735557096,127.05092614075735,37.569894171303496,POINT (127.05092614075737 37.569894171303496)
3399,,신답육교,3,0.0,230.0,524-1도,150.0,200.0,1,2,,,,1.0,109.0,82-0000002536,,,2536,10500.0,,N,204401.063156075,552374.314770586,127.0498185971518,37.57089996730453,POINT (127.04981859715181 37.57089996730453)
3401,,태양하나어린이집,3,0.0,230.0,493-2대,200.0,200.0,1,2,,,,1.0,109.0,82-0000002706,,4381794.0,2706,10400.0,,N,204046.80508269,552705.644967468,127.04581034122778,37.57388685914595,POINT (127.04581034122778 37.57388685914595)
3411,,농협전농지점,3,0.0,230.0,666도,200.0,200.0,1,2,,,,1.0,109.0,82-0000000746,,4392312.0,746,10400.0,,N,204343.6058852,552843.923048299,127.04917098162028,37.57513138531495,POINT (127.04917098162028 37.57513138531495)
3416,,동명교회,3,0.0,230.0,295-182대,200.0,200.0,1,2,,,,1.0,109.0,82-0000001287,,5301565.0,1287,10500.0,,N,204938.081089897,552594.13540592,127.05589894248403,37.572877817841565,POINT (127.05589894248405 37.572877817841565)
3419,,답십리한양아파트(연등)1,3,0.0,230.0,80-1대,200.0,200.0,1,2,,,,1.0,109.0,82-0000000109,,5311361.0,109,10500.0,,N,205353.97901177,552590.95096268,127.06060686998048,37.57284680307174,POINT (127.06060686998049 37.57284680307174)
3424,,장평중,3,0.0,230.0,471-1도,150.0,200.0,1,2,,,,2.0,109.0,82-0000003017,,,3017,10600.0,,N,206227.358919088,551714.968811688,127.07048605817094,37.56494875890646,POINT (127.07048605817094 37.56494875890646)
3438,,장안지구대앞,3,0.0,230.0,469-4도,150.0,200.0,1,2,,,,2.0,109.0,82-0000003434,,,3434,10600.0,,N,206359.333084816,552861.751012295,127.07198978678623,37.575280304345014,POINT (127.07198978678623 37.575280304345014)
3454,,답십리성당,3,0.0,230.0,534도,150.0,200.0,1,2,,,,1.0,109.0,82-0000003875,,,3875,10500.0,,N,205005.074644917,551943.455659352,127.05665286667592,37.56701486442867,POINT (127.05665286667592 37.56701486442867)
3455,,군자초교입구,3,0.0,230.0,4-118대,200.0,200.0,1,2,,,,1.0,109.0,82-0000004707,,5310402.0,4707,10500.0,,N,205400.397161095,551782.20886952,127.06112636653629,37.565559806106435,POINT (127.06112636653629 37.565559806106435)
3456,,단골슈퍼앞,3,0.0,230.0,165-33종,200.0,200.0,1,2,,,,2.0,109.0,82-0000004441,,5320033.0,4441,10600.0,,N,205710.403191296,551944.220366124,127.06463654222011,37.56701765337296,POINT (127.06463654222011 37.56701765337296)
3089,,제기사거리,3,0.0,230.0,856도,200.0,200.0,1,2,,,,1.0,109.0,82-0000003735,,4373492.0,3735,10300.0,,N,203412.401123797,553710.044633996,127.03863348586847,37.582939007491525,POINT (127.03863348586847 37.582939007491525)
3493,,용진한의원,3,0.0,230.0,852-2 도,150.0,200.0,1,2,,,,2.0,109.0,82-0000004137,,,4137,10300.0,,N,203293.755308778,553703.460265595,127.03729020841628,37.58288011475699,POINT (127.03729020841627 37.582880114756996)
