노드 ID,정류소번호,정류소명,X좌표,Y좌표,정류소 타입,geometry
105000001,6001,답십리역사거리,127.0550604632,37.5651870868,중앙차로,POINT (127.0550604632 37.5651870868)
105000002,6002,청년회의소,127.0612838214,37.5619653169,중앙차로,POINT (127.0612838214 37.5619653169)
105000003,6003,장한평역,127.0672869559,37.5611510646,중앙차로,POINT (127.0672869559 37.5611510646)
105000006,6006,동대문구청,127.038322,37.5741,중앙차로,POINT (127.038322 37.5741)
105000007,6007,서울시동부병원,127.0309536211,37.5739292519,중앙차로,POINT (127.0309536211 37.5739292519)
105000008,6008,신설동역.서울풍물시장,127.0257176822,37.574427911,중앙차로,POINT (127.0257176822 37.574427911)
105000009,6009,중랑교,127.0676664848,37.5917575509,중앙차로,POINT (127.0676664848 37.5917575509)
105000010,6010,중랑교,127.066835,37.591426,중앙차로,POINT (127.066835 37.591426)
105000011,6011,삼육서울병원,127.060685,37.589692,중앙차로,POINT (127.060685 37.589692)
105000012,6012,삼육서울병원,127.061955,37.59,중앙차로,POINT (127.061955 37.59)
105000013,6013,시조사삼거리,127.056888,37.588707,중앙차로,POINT (127.056888 37.588707)
105000014,6014,떡전교사거리.동대문노인복지관,127.0520133159,37.5864447699,중앙차로,POINT (127.0520133159 37.5864447699)
105000015,6015,청량리역환승센타,127.0454307288,37.5804025104,중앙차로,POINT (127.0454307288 37.5804025104)
105000016,6016,청량리역환승센타,127.0460771387,37.5802508767,중앙차로,POINT (127.0460771387 37.5802508767)
105000017,6017,동대문구청,127.0399889148,37.5734588708,중앙차로,POINT (127.0399889148 37.5734588708)
105000447,6018,청량리역환승센터,127.045748,37.580223,중앙차로,POINT (127.045748 37.580223)
105000446,6019,청량리역환승센터,127.045721,37.580304,중앙차로,POINT (127.045721 37.580304)
105000402,6020,청량리역환승센터,127.045381,37.580672,중앙차로,POINT (127.045381 37.580672)
105000478,6021,청량리미주아파트.동대문세무서,127.048395,37.58278,중앙차로,POINT (127.048395 37.58278)
105000480,6022,청량리.청과물도매시장,127.040598,37.578798,중앙차로,POINT (127.040598 37.578798)
105000482,6023,제기동역.서울약령시,127.037779,37.578144,중앙차로,POINT (127.037779 37.578144)
105000481,6024,제기동역.서울약령시,127.0365057166,37.5782338521,중앙차로,POINT (127.0365057166 37.5782338521)
105000484,6025,용두동사거리,127.0299882252,37.5775320632,중앙차로,POINT (127.0299882252 37.5775320632)
105000483,6026,용두동사거리.한국의류시험연구원,127.0282360085,37.5771723903,중앙차로,POINT (127.0282360085 37.5771723903)
105000486,6027,신설동역,127.0250446359,37.5761500409,중앙차로,POINT (127.0250446359 37.5761500409)
105000485,6028,신설동역,127.0238433051,37.575826798,중앙차로,POINT (127.0238433051 37.575826798)
105000018,6101,신설동역,127.0255836506,37.576453593,가로변시간,POINT (127.0255836506 37.576453593)
105000019,6102,신설동역,127.025947005,37.5762453617,일반차로,POINT (127.025947005 37.5762453617)
105000020,6103,용두동한국의류시험연구원,127.029114172,37.5775187657,가로변시간,POINT (127.029114172 37.5775187657)
105000021,6104,용두로타리한국의류시험연구원,127.0294820292,37.5772564569,가로변시간,POINT (127.0294820292 37.5772564569)
105000022,6105,제기역약령시장,127.0366096265,37.5782970238,일반차로,POINT (127.0366096265 37.5782970238)
105000023,6106,제기역약령시장,127.036835,37.578056,일반차로,POINT (127.036835 37.578056)
105000552,6107,신설동역1번출구,127.0233166791,37.5766303332,일반차로,POINT (127.0233166791 37.5766303332)
105000028,6112,청량리미주상가앞,127.0476780218,37.5818902252,가로변전일,POINT (127.0476780218 37.5818902252)
105000029,6113,서울성심병원,127.0502442553,37.5843923886,일반차로,POINT (127.0502442553 37.5843923886)
105000030,6114,서울성심병원,127.0508977332,37.5846074691,가로변시간,POINT (127.0508977332 37.5846074691)
105000031,6115,시조사,127.0522795666,37.5868487759,일반차로,POINT (127.0522795666 37.5868487759)
105000033,6117,휘경동입구,127.055203,37.587663,가로변시간,POINT (127.055203 37.587663)
105000034,6118,삼육서울병원,127.06061,37.589765,일반차로,POINT (127.06061 37.589765)
105000037,6121,중랑교,127.0664306844,37.59114436,일반차로,POINT (127.0664306844 37.59114436)
105000038,6122,회기시장,127.0566389299,37.5912026288,일반차로,POINT (127.0566389299 37.5912026288)
