주소,병원분류명,경도,위도
"서울특별시 동대문구 천호대로 3, 지하1,지상1~2층 (신설동)",한방병원,127.024344406042,37.5753483891625
"서울특별시 동대문구 천호대로 2, 이지빌딩 5층 (신설동)",의원,127.023557307449,37.5750052699082
"서울특별시 동대문구 휘경로 15, 3층 (이문동)",치과의원,127.061962760963,37.5959001609367
"서울특별시 동대문구 전농로 36, 답십리포레스트스퀘어 2층 202호 (답십리동)",의원,127.05740663686332,37.568010500056864
서울특별시 동대문구 망우로 123 (휘경동),의원,127.06659655052,37.591711720367
"서울특별시 동대문구 전농로23길 76, 1층 (전농동)",한의원,127.05273671694351,37.57820473214254
"서울특별시 동대문구 약령중앙로 5, 대산빌딩 A동 1층 102-1호 (제기동)",한의원,127.036583747228,37.5788373944495
서울특별시 동대문구 약령중앙로10길 9 (제기동),한의원,127.03772274777282,37.58255813796585
"서울특별시 동대문구 왕산로 147, 2층 (제기동)",한의원,127.03965869498,37.5787842338973
서울특별시 동대문구 천호대로 427-4 (장안동),의원,127.066763608282,37.5618398833013
"서울특별시 동대문구 전농로 102, 3층 (답십리동)",의원,127.057855083646,37.5739827977728
서울특별시 동대문구 망우로 131  (휘경동),치과의원,127.06742980778836,37.59184909905722
서울특별시 동대문구 이문로 9-1 (회기동),한의원,127.05435675523756,37.58912403198214
"서울특별시 동대문구 답십리로 289, 2층 (장안동)",한의원,127.0724384249,37.5725252297
"서울특별시 동대문구 한천로 43, 201호 (답십리동)",치과의원,127.061125017783,37.5659476957408
"서울특별시 동대문구 고산자로 420, 401호,402호 (용두동)",치과의원,127.03868333333332,37.57734722222222
"서울특별시 동대문구 망우로 77, 2층 (휘경동)",의원,127.061771664222,37.5901988753682
"서울특별시 동대문구 장한로 144, 2층 (장안동)",치과의원,127.072120365569,37.5731435969532
"서울특별시 동대문구 왕산로 225, 2층 (청량리동)",의원,127.04697410736284,37.58182694149463
"서울특별시 동대문구 서울시립대로 31, 102동 202호 (전농동, 동아아파트)",한의원,127.045864474612,37.5753105451014
서울특별시 동대문구 이문로 186 (이문동),의원,127.062222299014,37.6032482347083
"서울특별시 동대문구 전농로 110, 1, 2층 (답십리동)",의원,127.057992394709,37.5747098330695
서울특별시 동대문구 경희대로 23 (회기동),종합병원,127.05183223390304,37.5938765502235
"서울특별시 동대문구 답십리로30길 51, 1층 (답십리동)",한의원,127.04753040599132,37.5730424428542
서울특별시 동대문구 왕산로 171 (제기동),의원,127.04207782115849,37.57949923248537
"서울특별시 동대문구 망우로 123, 2층 (휘경동)",의원,127.0665963249,37.5917126215
서울특별시 동대문구 이문로 119-1 (이문동),한의원,127.03464166666669,37.58799166666667
"서울특별시 동대문구 약령중앙로6길 15, 1층 (제기동)",한의원,127.03802560391487,37.58085930607179
"서울특별시 동대문구 한빛로 12, 중4층 (신설동)",의원,127.02488711973422,37.57675788185222
"서울특별시 동대문구 약령중앙로2길 14, 1,2층 (제기동)",한의원,127.0376395582248,37.57866461227275
"서울특별시 동대문구 망우로 123, 5층 (휘경동, 휘경메디컬프라자)",의원,127.0665963248667,37.59171262149207
"서울특별시 동대문구 약령동길 41, 2층 209호 (제기동)",한의원,127.037687327976,37.5802284521778
"서울특별시 동대문구 왕산로 176, 3층 (전농동)",의원,127.043012785781,37.5792781556077
서울특별시 동대문구 이문로 12 1층  (휘경동),한의원,127.054776819931,37.5888466956933
"서울특별시 동대문구 고산자로 451, 세우약령시빌딩 2층 (제기동)",치과의원,127.038176426234,37.5800603497677
"서울특별시 동대문구 약령시로 124, 1,2,3층 (청량리동)",의원,127.043771397652,37.5829448308128
"서울특별시 동대문구 서울시립대로 31, 102동 201호 (전농동, 동아아파트)",의원,127.045864474612,37.5753105451014
"서울특별시 동대문구 전농로 22, 203. 204호 (답십리동)",한의원,127.05679618803464,37.56902351024664
"서울특별시 동대문구 답십리로 304, 2층 (장안동)",치과의원,127.0742172103,37.5718141408
"서울특별시 동대문구 약령시로 126, 4층 (청량리동)",한의원,127.043992283655,37.5829509655537
"서울특별시 동대문구 장한로 139, 2층 202호, 4층 (장안동)",한의원,127.07142542086798,37.5728968765918
"서울특별시 동대문구 장한로 129, 2,3층 (장안동)",한의원,127.070930222624,37.5719953693996
서울특별시 동대문구 무학로 124 (용두동),종합병원,127.03140257525509,37.57539886464885
"서울특별시 동대문구 홍릉로 28, 성일빌딩 1,5층 (청량리동)",의원,127.044683044631,37.5828224947419
서울특별시 동대문구 휘경로 39 (이문동),한의원,127.064273464123,37.5948915267761
"서울특별시 동대문구 이문로 85, 2층 (이문동)",한의원,127.058894660446,37.594738641925
"서울특별시 동대문구 장한로6길 4, 2층 (장안동)",한의원,127.066416193715,37.5636893742929
"서울특별시 동대문구 장한로 68, 6층 (장안동)",치과의원,127.0685663198,37.5668296478
"서울특별시 동대문구 약령시로 123, 2층 (청량리동)",의원,127.04364681737088,37.5832576117391
"서울특별시 동대문구 천호대로 301, 답십리역 지웰에스테이트 201~203호 (답십리동)",한의원,127.054315691609,37.5661374408914
서울특별시 동대문구 왕산로 123 (제기동),한의원,127.03464166666669,37.58799166666667
"서울특별시 동대문구 고산자로 399, 4층 (용두동)",치과의원,127.037769621436,37.5752762915537
"서울특별시 동대문구 이문로 37, 2층 203호 (회기동, 회기역 한일베라체캠퍼스)",의원,127.056117386349,37.5908011291028
"서울특별시 동대문구 천호대로 269, 2층 202호 (답십리동)",의원,127.05173792835954,37.56795906065796
"서울특별시 동대문구 한천로58길 47 , 상가 307호  (이문동, 쌍용아파트)",의원,127.068769452719,37.6007507501532
서울특별시 동대문구 홍릉로 5 (청량리동),의원,127.0447330221,37.5808242523432
"서울특별시 동대문구 안암로 130, 2층 (제기동)",한의원,127.033439624248,37.5867366155065
"서울특별시 동대문구 고산자로 517, 1층 (제기동)",한의원,127.0382681600864,37.58587596205719
서울특별시 동대문구 장한로 170 (장안동),치과의원,127.07228254527,37.5754486923863
"서울특별시 동대문구 천호대로 317, 1층 (답십리동, 하늘병원)",치과의원,127.055634655029,37.565178527398
"서울특별시 동대문구 장한로 119, 304호 (장안동)",의원,127.070127915974,37.5714380427267
서울특별시 동대문구 회기로 8 (제기동),의원,127.037197439,37.5910984571
서울특별시 동대문구 한천로33길 26,의원,127.06713034978304,37.57657011409483
"서울특별시 동대문구 왕산로 176, 5층 (전농동)",의원,127.043012785781,37.5792781556077
"서울특별시 동대문구 홍릉로12길 4, 지하1, 1, 2층 (청량리동)",한의원,127.044061997258,37.5850184486713
서울특별시 동대문구 답십리로 252 (장안동),의원,127.0681547875534,37.572304329812816
