연번,시설물위치명,소재지도로명주소,소재지지번주소,위도,경도,설치 연월,관리기관명,연락처,데이터기준일
1,완신상사앞,서울특별시 동대문구 한천로 20(장안동),서울특별시 동대문구 장안동 245-2,37.56419638,127.0596377,2020-12-20,서울특별시 동대문구청,02-2127-4887,2024-03-18
2,남장안치안센터(1),서울특별시 동대문구 한천로10길4(장안동),서울특별시 동대문구 장안동 217-1,37.56548747,127.0614573,2020-12-20,서울특별시 동대문구청,02-2127-4887,2024-03-18
3,남장안치안센터(2),서울특별시 동대문구 한천로 43(답십리동),서울특별시 동대문구 답십리동 12-266,37.5659477,127.061125,2020-12-20,서울특별시 동대문구청,02-2127-4887,2024-03-18
4,장한평역2~3번 출구앞,서울특별시 동대문구 장한로 3(장안동),서울특별시 동대문구 장안동 416-5,37.56213555,127.0645738,2020-12-20,서울특별시 동대문구청,02-2127-4887,2024-03-18
5,성바오로병원교차로,서울특별시 동대문구 왕산로 176(전농동),서울특별시 동대문구 전농동 621-1,37.57927816,127.0430128,2021-09-13,서울특별시 동대문구청,02-2127-4887,2024-03-18
6,청량리수산시장 1번아치앞,서울특별시 동대문구 왕산로 151(제기동),서울특별시 동대문구 제기동 1012,37.57885704,127.0401742,2021-09-13,서울특별시 동대문구청,02-2127-4887,2024-03-18
7,장평초교 통학로(성복교회앞),서울특별시 동대문구 장안벚꽃로 139(장안동),서울특별시 동대문구 장안동 332-5,37.57228254,127.0763737,2021-10-27,서울특별시 동대문구청,02-2127-4887,2024-03-18
8,메꽃어린이집 통학로(택배업체앞),서울특별시 동대문구 장안벚꽃로 131(장안동),서울특별시 동대문구 장안동 333-2,37.571779,127.0763353,2021-10-27,서울특별시 동대문구청,02-2127-4887,2024-03-18
9,동답초통학로(동대문체육관앞),서울특별시 동대문구 답십리로60길 12(답십리동),서울특별시 동대문구 답십리동 2-24 ,37.57150142,127.0640341,2021-10-27,서울특별시 동대문구청,02-2127-4887,2024-03-18
10,전동초교앞 횡단보도,서울특별시 동대문구 사가정로 145(전농동),서울특별시 동대문구 전농동 38-112,37.57810949,127.0609812,2021-12-27,서울특별시 동대문구청,02-2127-4887,2024-03-18
11,종암초교 후문앞 횡단보도,서울특별시 동대문구 약령시로 14(제기동),서울특별시 동대문구 제기동 148-50,37.58254387,127.0313586,2021-12-27,서울특별시 동대문구청,02-2127-4887,2024-03-18
12,홍파초교 교차로,서울특별시 동대문구 고산자로 528-1(제기동),서울특별시 동대문구 제기동 122-1,37.58705957,127.0383416,2021-12-27,서울특별시 동대문구청,02-2127-4887,2024-03-18
13,전농초교 교차로,서울특별시 동대문구 사가정로 66(전농동),서울특별시 동대문구 전농동 298,37.57473031,127.0543331,2021-12-27,서울특별시 동대문구청,02-2127-4887,2024-03-18
14,배봉초교 교차로,서울특별시 동대문구 한천로 202(장안동),서울특별시 동대문구 장안동 108-3,37.57884534,127.0686797,2021-12-27,서울특별시 동대문구청,02-2127-4887,2024-03-18
15,장안동사거리,서울특별시 동대문구 장한로 116(장안동),서울특별시 동대문구 장안동 366-1,37.57073273,127.0710615,2021-12-27,서울특별시 동대문구청,02-2127-4887,2024-03-18
16,회기역앞교차로,서울특별시 동대문구 이문로 30(휘경동),서울특별시 동대문구 휘경동 320-7,37.59018442,127.0564532,2021-12-27,서울특별시 동대문구청,02-2127-4887,2024-03-18
17,답십리1동교차로,서울특별시 동대문구 전농로 9(답십리동),서울특별시 동대문구 답십리동 490-47,37.56628769,127.055553,2021-12-27,서울특별시 동대문구청,02-2127-4887,2024-03-18
18,청량리R,서울특별시 동대문구 왕산로 195(청량리동),서울특별시 동대문구 청량리동 749,37.58024297,127.0446392,2021-12-27,서울특별시 동대문구청,02-2127-4887,2024-03-18
19,전곡초교앞 횡단보도,서울특별시 동대문구 전농로 172(전농동),서울특별시 동대문구 전농동 188,37.58070429,127.0560124,2021-12-27,서울특별시 동대문구청,02-2127-4887,2024-03-18
20,휘경여고앞 횡단보도,서울특별시 동대문구 한천로 247(휘경동),서울특별시 동대문구 휘경동 43-7,37.58190052,127.0674341,2021-12-27,서울특별시 동대문구청,02-2127-4887,2024-03-18
21,용두초교 통학로 횡단보도,서울특별시 동대문구 무학로 125,서울특별시 동대문구 용두동235-1,37.5754312,127.0303628,2022-10-04,서울특별시 동대문구청,02-2127-4887,2024-03-18
22,이문초교 정문앞 횡단보도,서울특별시 동대문구 신이문로17,서울특별시 동대문구 이문로430,37.6032939,127.0641692,2022-10-04,서울특별시 동대문구청,02-2127-4887,2024-03-18
23,이문초교 통학로 횡단보도,서울특별시 동대문구 신이문로16길1,서울특별시 동대문구 이문동238-3,37.6028511,127.0651487,2022-10-04,서울특별시 동대문구청,02-2127-4887,2024-03-18
24,청량초교 통학로 횡단보도,서울특별시 동대문구 이문로62,서울특별시 동대문구 휘경동187-4,37.5926297,127.0578937,2022-10-04,서울특별시 동대문구청,02-2127-4887,2024-03-18
25,청량초교 통학로 횡단보도,서울특별시 동대문구 이문로46,서울특별시 동대문구 휘경동183-243,37.5914342,127.0571274,2022-10-04,서울특별시 동대문구청,02-2127-4887,2024-03-18
26,휘경초교 통학로 횡단보도,서울특별시 동대문구 망우로80,서울특별시 동대문구 휘경동276-45,37.5897364,127.0622895,2022-10-04,서울특별시 동대문구청,02-2127-4887,2024-03-18
27,안평초교 통확로 횡단보도,서울특별시 동대문구 장한로12길55,서울특별시 동대문구 장안동358-26,37.5650418,127.0706472,2022-10-04,서울특별시 동대문구청,02-2127-4887,2024-03-18
28,청량리R 북측 횡단보도,서울특별시 동대문구 홍릉로6,서울특별시 동대문구 청량리동279,37.5809132,127.0451798,2022-12-12,서울특별시 동대문구청,02-2127-4887,2024-03-18
29,신답초교 통학로 횡단보도,서울특별시 동대문구 서울시립대로 14,서울특별시 동대문구 답십리동 1002,37.5722952,127.0457993,2022-12-12,서울특별시 동대문구청,02-2127-4887,2024-03-18
30,답십리초교 앞 교차로(대각선횡단보도),서울특별시 동대문구 전농로 32,서울특별시 동대문구 답십리동 276-7,37.5677561,127.057128,2023-12-21,서울특별시 동대문구청,02-2127-4887,2024-03-18
31,휘경여중고교 교차로,서울특별시 동대문구 한천로 264,서울특별시 동대문구 휘경동 57-1,37.58430954,127.0683143,2023-12-21,서울특별시 동대문구청,02-2127-4887,2024-03-18
32,전동중교앞 교차로,서울특별시 동대문구 장안벚꽃로 291,서울특별시 동대문구 휘경동 49-308,37.58619359,127.0709291,2023-12-21,서울특별시 동대문구청,02-2127-4887,2024-03-18
33,휘경빗물펌프장 앞 교차로(휘봉초 통학로),서울특별시 동대문구 한천로 314,서울특별시 동대문구 휘경동 43-143,37.58835197,127.0687089,2023-12-21,서울특별시 동대문구청,02-2127-4887,2024-03-18
34,제기동 성당,서울특별시 동대문구 약령시로 34-1,서울특별시 동대문구 제기동 182-24,37.58264,127.0336803,2023-12-21,서울특별시 동대문구청,02-2127-4887,2024-03-18
35,소화유치원,서울특별시 동대문구 약령시로 45,서울특별시 동대문구 제기동 252-1,37.58306693,127.0347771,2023-12-21,서울특별시 동대문구청,02-2127-4887,2024-03-18
36,홍파초교 후문,서울특별시 동대문구 제기로 15길 3,서울특별시 동대문구 제기동 120-10,37.58686856,127.039973,2023-12-21,서울특별시 동대문구청,02-2127-4887,2024-03-18
37,제기동 새마을금고,서울특별시 동대문구 고산자로 509,서울특별시 동대문구 제기동 714-24,37.58525915,127.038245,2023-12-21,서울특별시 동대문구청,02-2127-4887,2024-03-18
38,동대문경찰서 교차로,서울특별시 동대문구 홍릉로 28,서울특별시 동대문구 청량리동 317,37.58282249,127.044683,2023-12-21,서울특별시 동대문구청,02-2127-4887,2024-03-18
39,홍릉초등학교 정문,서울특별시 동대문구 회기로 90,서울특별시 동대문구 청량리동 산1-135,37.59068752,127.0477051,2023-12-21,서울특별시 동대문구청,02-2127-4887,2024-03-18
40,용두동교차로,서울특별시 동대문구 왕산로 68,서울특별시 동대문구 용두동 119-1,37.5774851,127.030899,2023-12-21,서울특별시 동대문구청,02-2127-4887,2024-03-18
41,장안2동주민센터,서울특별시 동대문구 사가정로 229,서울특별시 동대문구 장안동 285-1,37.57894686,127.0705533,2023-12-21,서울특별시 동대문구청,02-2127-4887,2024-03-18
42,답십리초교정문앞,서울특별시 동대문구 전농로3길 34-2,서울특별시 동대문구 답십리동 269-18,37.56919061,127.0561169,2023-12-21,서울특별시 동대문구청,02-2127-4887,2024-03-18
43,3-1 신답초 통학로(청량리교회),서울특별시 동대문구 황물로 15,서울특별시 동대문구 전농동 645-1,37.5755441,127.045345,2023-12-21,서울특별시 동대문구청,02-2127-4887,2024-03-18
44,3-2 신답초 통학로(답십리굴다리),서울특별시 동대문구 황물로 1,서울특별시 동대문구 전농동 643-1,37.57655486,127.0459864,2023-12-21,서울특별시 동대문구청,02-2127-4887,2024-03-18
