"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
"답십리1_0012",서울특별시,동대문구,기타,,전농로3길,03,서울특별시 동대문구 전농로3길 38,서울특별시 동대문구 답십리동 269-10,37.5694459,127.0561253,명지피아노 앞,4,0,,,,2020,서울특별시 동대문구청,02-2127-4098,2024-06-04
"용신_0042",서울특별시,동대문구,기타,,하정로,03,서울특별시 동대문구 하정로 44,서울특별시 동대문구 신설동 92-10,37.574912,127.026907,카페엔드롱앞,4,0,,,,2017,서울특별시 동대문구청,02-2127-4098,2024-06-04
"용신_0049",서울특별시,동대문구,기타,,고산자로31길,03,서울특별시 동대문구 고산자로31길 25,서울특별시 동대문구 용두동 792-2,37.5767322,127.0366182,용두새마을금고 본점 앞,4,0,,,,2021,서울특별시 동대문구청,02-2127-4098,2024-06-04
"장안1_0028",서울특별시,동대문구,기타,,장한로14길,03,서울특별시 동대문구 장한로14길 62,서울특별시 동대문구 장안동 358-3,37.56525823,127.0712929,안평초등학교 정문 앞,4,0,,,,2020,서울특별시 동대문구청,02-2127-4098,2024-06-04
"장안1_0057",서울특별시,동대문구,기타,,한천로14길,03,서울특별시 동대문구 한천로14길 53,서울특별시 동대문구 장안동 398-8,37.56712179,127.0658005,장안동우체국 앞,4,0,,,,2021,서울특별시 동대문구청,02-2127-4098,2024-06-04
"장안1_0061",서울특별시,동대문구,기타,,답십리로64길,03,서울특별시 동대문구 답십리로64길 135,서울특별시 동대문구 장안동 194-28,37.56724146,127.064277,대동숯불생고기 앞,4,0,,,,2021,서울특별시 동대문구청,02-2127-4098,2024-06-04
"장안2_0007",서울특별시,동대문구,기타,,장한로 27길,03,서울특별시 동대문구 장한로 27길 11,서울특별시 동대문구 장안동 307-2,37.57295205,127.071032,더치앤빈 앞,4,0,,,,2021,서울특별시 동대문구청,02-2127-4098,2024-06-04
"전농1_0004",서울특별시,동대문구,기타,,서울시립대로,03,서울특별시 동대문구 서울시립대로 43,서울특별시 동대문구 전농동 644-96,37.57531164,127.046756,우리외과앞,4,0,,,,2017,서울특별시 동대문구청,02-2127-4098,2024-06-04
"전농1_0017",서울특별시,동대문구,기타,,서울시립대로5길,03,서울특별시 동대문구 서울시립대로5길 27,서울특별시 동대문구 전농동 644-2,37.57623832,127.0458117,축산파크 앞,4,0,,,,2017,서울특별시 동대문구청,02-2127-4098,2024-06-04
"전농2_0031",서울특별시,동대문구,기타,,전농로20길,03,서울특별시 동대문구 전농로20길10,서울특별시 동대문구 전농동 60-325,37.57938781,127.0571742,동근이 숯불두마리치킨 앞,4,0,,,,2021,서울특별시 동대문구청,02-2127-4098,2024-06-04
