연번,자치구,주소,X좌표,Y좌표
1,강남구,강남구 역삼동 710 대,203932.3625,544351.1437
2,강남구,강남구 논현동 219-12 대,202931.842,545521.0257
3,강남구,강남구 일원동 460천,207567.0375,544034.3875
4,강남구,강남구 일원동 460천,207602.9625,544048.425
5,강남구,강남구 압구정동 484천,203039.4734,548378.897
6,강남구,강남구 개포동 18-1잡,207019.2092,543818.0112
7,강남구,강남구 삼성동 161-11 대,205487.6082,545777.2901
8,강남구,강남구 삼성동 161 대,205427.7987,545780.3594
9,강남구,강남구 삼성동 161-2 대,205452.6995,545790.9672
10,강남구,강남구 대치동 973-14 대,205384.3376,544354.2555
11,강남구,강남구 대치동 973-28 대,205408.6762,544372.9585
12,강남구,강남구 삼성동 99-7 대,205684.7133,546153.46
13,강남구,강남구 개포동 156 공,205277.5683,542678.0536
14,강남구,강남구 대치동 973-12 대,205374.9878,544360.3235
15,강남구,강남구 역삼동 712 공,203974.3625,544362.8187
16,강남구,강남구 역삼동 633-16 대,202722.1824,544404.9315
17,강남구,강남구 삼성동 186-6천,205839.8146,546182.1334
18,강남구,강남구 일원동 306유,207106.75,544477.2562
19,강남구,강남구 압구정동 484천,203048.9518,548378.1771
20,강남구,강남구 일원동 580잡,207016.6866,543786.4136
21,강남구,강남구 삼성동 133 공,204339.0654,545034.6562
22,강남구,강남구 대치동 137 공,204381.3919,545002.05
23,강남구,강남구 일원동 580잡,207017.6982,543808.5328
24,강남구,강남구 대치동 1012-68 도,205392.1094,544406.3437
25,강남구,강남구 대치동 980-5 대,205513.8001,544450.9754
26,강남구,강남구 대치동 316 대,205543.7744,544047.1868
27,강남구,강남구 대치동 316 대,205520.875,544028.7062
28,강남구,강남구 청담동 343천,204779.609,547315.3438
29,강남구,강남구 논현동 219-14 대,202913.7861,545507.4151
30,강남구,강남구 삼성동 24-25 대,204400.791,545826.5706
31,강남구,강남구 삼성동 24-23 대,204386.0748,545846.7365
32,강남구,강남구 대치동 1012-8 도,205745.8625,545107.8625
33,강남구,강남구 대치동 973-28 대,205410.0255,544365.2502
34,강남구,강남구 대치동 1012-68 도,205396.0817,544405.4114
35,강남구,강남구 역삼동 710 대,203934.0455,544340.8133
36,강남구,강남구 역삼동 182-19 대,202193.8438,544987.0625
37,강남구,강남구 역삼동 670-4 대,203242.6041,544621.5354
38,강남구,강남구 역삼동 261-1 대,203199.5875,545381.3437
39,강남구,강남구 역삼동 710 대,203936.108,544322.4383
40,강남구,강남구 삼성동 186-3천,205894.744,546196.3226
41,강남구,강남구 개포동 513-3 천,206125.1011,543346.1638
42,강남구,강남구 도곡동 179-1도,203939.5585,542675.5134
43,강남구,강남구 논현동 261-1 대,203193.7965,545403.7961
44,강남구,강남구 일원동 714 학,207070.7125,542605.3437
45,강남구,강남구 일원동 714 학,207070.7125,542605.3437
46,강남구,강남구 개포동 508-2 공,205487.199,543111.7147
47,강남구,강남구 대치동 893-1 대,204993.8321,544779.5239
48,강남구,강남구 대치동 1011-8 도,205006.3965,544767.2786
49,강남구,강남구 대치동 893 대,204897.7015,544739.1043
50,강남구,강남구 대치동 893 대,204896.0119,544721.7941
51,강남구,강남구 개포동 649 대,204898.023,542546.5881
52,강남구,강남구 개포동 647-1 도,205043.082,542689.1273
